CERTIFICADO;PRODUCTO;DOCUMENTO;TIPO DE DOCUMENTO;NOMBRE;APELLIDO;DIRECCION;TELEFONO;BARRIO;CIUDAD;ESTADO CERTIFICADO;FECHA EMISION POLIZA;CIUDAD EMISION;DEPARTAMENTO EMISION;CIUDAD NACIMIENTO;DEPARTAMENTO NACIMIENTO;FECHA SINIESTRO;IDENTIFICADOR SINIESTRO ;ESTADO SINIESTRO
1000005;101;1234562345;CC;PEDRO;FLANDERS;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;20/03/2020;SNS2020032000011;A
1000006;101;1234562345;CC;PEDRO;FLANDERS;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;C;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/09/2020;SNS2020091500012;A
1000001;101;1234567890;CC;BARTOLOMEO;SIMPSONS;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/02/2020;SNS2020021500013;A
1000007;101;1234567890;CC;BARTOLOMEO;SIMPSONS;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;C;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/03/2020;SNS2020031500014;A
1000012;101;1234567890;CC;BARTOLOMEO;SIMPSONS;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;C;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/04/2020;SNS2020041500015;A
1000020;101;1234567890;CC;BARTOLOMEO;SIMPSONS;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;C;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/05/2020;SNS2020051500016;A
1000003;101;1234567908;CC;MAGGIE;SIMPSONS;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;C;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/08/2020;SNS2020081500017;A
1000004;101;1235467654;CC;MARTHA;FLANDERS;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;C;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;20/03/2020;SNS2020032000018;A
1000004;101;1235467654;CC;MARTHA;FLANDERS;AV SIEMPRE VIVA 4321;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/09/2020;SNS2020091500019;A
1000002;101;2345678901;CC;MARGE;SIMPSONS;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/03/2020;SNS2020031500020;A
1000009;101;2345678901;CC;MARGE;SIMPSONS;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/04/2020;SNS2020041500021;A
1000015;101;2345678901;CC;MARGE;SIMPSONS;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/05/2020;SNS2020051500022;A
1000009;101;2345678901;CC;MARGE;SIMPSONS;AV SIEMPRE VIVA 1234;3142222222;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/08/2020;SNS2020081500023;A
1000019;101;9876788982;NIT;PRIMARIA SPRINGFIELD;;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/09/2020;SNS2020091500024;A
